TCI,HYDRO_GP,Transect,Species,Year,medYear,time,mTCI,transectYears
11,Group 5,17,RRG,2016,2016.5,-0.5,0.595,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.7125,3
10,Group 5,17,RRG,2015,2016.5,-1.5,0.51,3
10,Group 5,17,RRG,2016,2016.5,-0.5,0.51,3
11,Group 5,17,RRG,2018,2016.5,1.5,0.675,3
13,Group 5,17,RRG,2015,2016.5,-1.5,0.7735,3
13,Group 5,17,RRG,2016,2016.5,-0.5,0.7735,3
12,Group 5,17,RRG,2018,2016.5,1.5,0.665,3
12,Group 5,17,RRG,2015,2016.5,-1.5,0.7225,3
12,Group 2,16,RRG,2016,2016.5,-0.5,0.728,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
12,Group 2,16,RRG,2015,2016.5,-1.5,0.728,3
11,Group 2,16,RRG,2016,2016.5,-0.5,0.567,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
11,Group 2,16,RRG,2015,2016.5,-1.5,0.567,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.225,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.225,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.225,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.225,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
6,Group 2,16,RRG,2016,2016.5,-0.5,0.12,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
6,Group 2,16,RRG,2015,2016.5,-1.5,0.12,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.63,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
10,Group 2,16,RRG,2016,2016.5,-0.5,0.486,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.76,3
10,Group 2,16,RRG,2015,2016.5,-1.5,0.486,3
8,Group 2,16,RRG,2016,2016.5,-0.5,0.3,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
8,Group 2,16,RRG,2015,2016.5,-1.5,0.3,3
11,Group 2,16,RRG,2016,2016.5,-0.5,0.567,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.76,3
11,Group 2,16,RRG,2015,2016.5,-1.5,0.567,3
7,Group 2,16,RRG,2016,2016.5,-0.5,0.24,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.7125,3
7,Group 2,16,RRG,2015,2016.5,-1.5,0.24,3
5,Group 2,16,RRG,2016,2016.5,-0.5,0.06,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.72,3
5,Group 2,16,RRG,2015,2016.5,-1.5,0.06,3
3,Group 2,16,RRG,2016,2016.5,-0.5,0.015,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.5525,3
3,Group 2,16,RRG,2015,2016.5,-1.5,0.015,3
4,Group 2,16,RRG,2016,2016.5,-0.5,0.03,3
12,Group 2,16,RRG,2018,2016.5,1.5,0.665,3
4,Group 2,16,RRG,2015,2016.5,-1.5,0.03,3
10,Group 2,16,RRG,2016,2016.5,-0.5,0.6,3
11,Group 2,16,RRG,2018,2016.5,1.5,0.675,3
